name;subject_en;subject_fi;subject_en_GB;html_file_name;text_file_name;variables;schedule_params;type
User not logged in for a while (company user);It's been a while since you’ve been active on {{service}};It's been a while since you’ve been active on {{service}};It's been a while since you’ve been active on {{service}};user_has_not_logged_for_a_while_corporate.html;user_has_not_logged_for_a_while_corporate.txt;{{user_first_name}},{{item_new_without_login}},{{reset_password}};"{""params"":[""not_logged_in_since_last_x_hours""],""params_value"":[""24""],""params_help"":[""User has not logged in since (x) hours""]}";3,4
User not logged in for a while (private user);It has been a while. Come visit {{service}} to discover new interesting items;It has been a while. Come visit {{service}} to discover new interesting items;It has been a while. Come visit {{service}} to discover new interesting items;user_has_not_logged_for_a_while_private.html;user_has_not_logged_for_a_while_private.txt;{{user_first_name}},{{item_new_without_login}},{{reset_password}};"{""params"":[""not_logged_in_since_last_x_hours""],""params_value"":[""24""],""params_help"":[""User has not logged in since (x) hours""]}";3,4
User hasn’t confirmed his/her email address;Your {{service}} account is not yet confirmed.;Your {{service}} account is not yet confirmed.;Your {{service}} account is not yet confirmed.;user_has_not_confirmed_email_address.html;user_has_not_confirmed_email_address.txt;{{confirmation_link}},{{request_new_token_link}},{{email_address}};"{""params"":[""user_has_not_confirmed_in_x_hours""],""params_value"":[""168""],""params_help"":[""User has not confirmed his/her email address (x) hours""]}";3,4
Admin created account;Welcome to {{service}}-;Welcome to {{service}}-;Welcome to {{service}}-;admin_registration_account.html;admin_registration_account.txt;{{user_full_name}},{{private_user_edit_account}},{{corporate_user_edit_account}},{{subsription_link}};"{""params"":[]}";3,4
User hasn’t placed any ads yet;Get your stock out in the world! Place new ads on {{portal_name}};Get your stock out in the world! Place new ads on {{portal_name}};Get your stock out in the world! Place new ads on {{portal_name}};user_has_not_placed_an_ad.html;user_has_not_placed_an_ad.txt;{{portal_name}},{{portal_URL}},{{email_address}},{{portal_name}},{{customer_support_number}};"{""params"":[]}";3,4
User hasn’t placed any ads for a while;We miss you. Place new ads on {{portal_name}};We miss you. Place new ads on {{portal_name}};We miss you. Place new ads on  {{portal_name}};user_has_not_placed_an_ad_for_a_while.html;user_has_not_placed_an_ad_for_a_while.txt;{{portal_name}},{{portal_URL}},{{email_address}},{{portal_name}},{{customer_support_number}};"{""params"":[""user_has_not_placed_any_ads_in_last_x_hours""],""params_value"":[""168""],""params_help"":[""user has not placed any ads in last 168(X) hours""]}";3,4
Subscription is ending;Your{{subscription_name}}-package is expiring..;Your{{subscription_name}}-package is expiring..;Your{{subscription_name}}-package is expiring..;subscription_is_ending_message.html;subscription_is_ending_message.txt;{{subscription_name}},{{expiration_date}},{{renew_subscription_link_with_ID_ token}},{{user_name}};"{""params"":[""subscription_is_expiring_in_x_hours""],""params_value"":[""72""],""params_help"":[""User subscription is expiring in (x) hours""]}";3,4
Subscription ended;Your{{subscription_name}}-package has expired..;Your{{subscription_name}}-package has expiring..;Your{{subscription_name}}-package has expiring..;subscription_has_ended_message.html;subscription_has_ended_message.txt;{{subscription_name}},{{expiration_date}},{{renew_subscription_link_with_ID_token}},{{user_name}};"{""params"":[]}";3,4
Confirmation placing an ad;Your ad “{{title}}” , ID: {{ID}} was placed successful on {{service}}.;Your ad “{{title}}” , ID: {{ID}} was placed successful on {{service}}.;Your ad “{{title}}” , ID: {{ID}} was placed successful on {{service}}.;confirmation_placing_an_ad_message.html;confirmation_placing_an_ad_message.txt;{{title}},{{ID}},{{item_url}},{{user_name}},{{edit_add_link_with_ID_token}},{{support_form_link}};"{""params"":[]}";3,4
Confirmation of subscription bought;Congratulations, you are now a {{subscription_name}}-user on {{service}};Congratulations, you are now a {{subscription_name}}-user on {{service}};Congratulations, you are now a {{subscription_name}}-user on {{service}};confirmation_of_subscription_bought_message.html;confirmation_of_subscription_bought_message.txt;{{user_name}},{{subscription_name}};"{""params"":[]}";3,4
Item expired;Ad expired;Ad expired;Ad expired;item_expired_message.html;item_expired_message.txt;{{user_first_name}};"{""params"":[]}";3,4
Several Item expired;Oh no, soo your ads expired.;Oh no, soo your ads expired.;Oh no, soo your ads expired.;several_item_expired_message.html;several_item_expired_message.txt;{{user_first_name}};"{""params"":[]}";3,4
Ad moderation notification;Ad moderation notification;Ad moderation notification;Ad moderation notification;advert_moderation_notification.html;advert_moderation_notification.txt;{{user_full_name}};"{""params"":[]}";3,4
Registration completion for normal user;Your {{service}} account is now verified;Your {{service}} account is now verified;Your {{service}} account is now verified;registration_completion_for_normal_user.html;registration_completion_for_normal_user.txt;{{user_full_name}},{{ place_ads }},{{ place_search_agents }},{{complete_your_profile}};"{""params"":[]}";4
Registration completion for company account;Your {{service}} business-account is now verified;Your {{service}} business-account is now verified;Your {{service}} business-account is now verified;registration_completion_for_company_account.html;registration_completion_for_company_account.txt;{{user_full_name}},{{ place_ads }},{{complete_your_profile}},{{ subscriptions_page }},{{ value_added_services }};"{""params"":[]}";3
Subscription package activated;Your{{subscription_name}}-package has activated..;Your{{subscription_name}}-package has activated..;Your{{subscription_name}}-package has activated..;subscription_has_activated_message.html;subscription_has_activated_message.txt;{{subscription_name}},{{activation_date}},{{ad_management_link_with_ID_token}},{{user_name}};"{""params"":[]}";3,4
New Feedback;Feedback: New feedback received;Feedback: New feedback received;Feedback: New feedback received;feedback_new.html;feedback_new.txt;{{type}},{{issue}},{{name}},{{email}},{{ad_id}},{{comment}},{{created_at}},{{ad_id}};"{""params"":[]}";3,4
